矣	qvq
緊	kingq
恩	qvvn
眼	ngvvnq
恨	ɡvvnh
根	kvvn
鄢	qan
㫃	qalq
偃	qanq
鄢	qanq
甗	ngal
言	qan
巘	ngalq
鬳	ngalh
軒	han
憲	halh
獻	nghalh
𩱡	kan
建	kanh
殷	qrvvn
眼	ngrvvnq
瞯	ɡreen
瞷	ɡreen
閑	ɡreen
閑	ɡraan
間	ɡreen
限	ɡrvvnq
囏	krvvn
艱	krvvn
蕑	kreen
閒	kreen
間	kreen
𡏳	krvvn
揀	kreenq
柬	kreenq
簡	kreenq
咽	qiing
烟	qiing
煙	qiing
咽	qiingh
宴	qeenh
晏	qeenh
燕	qeenh
妍	ngeen
研	ngeen
硏	ngeenh
硯	ngeenh
弦	ɡiing
誸	ɡiing
賢	ɡiing
俔	ɡeenq
現	ɡeenh
見	ɡeenh
天	lhiing
顯	hiing
堅	kiing
幵	keen
枅	keen
肩	keen
豣	keen
繭	kiingq
見	keenh
牽	khiing
焉	an
焉	qran
鄢	qran
巘	ngralq
彥	ngranh
彦	ngranh
甗	ngralh
諺	ngranh
讞	ngralh
乾	ɡral
虔	ɡran
件	ɡranq
𢵈	khrenq
愆	khran
褰	khran
延	lan
筵	lan
羨	lan
演	lanq
衍	lanq
衍	lanh
遣	khenq
遣	khenh
安	qaan
鞌	qaan
鞍	qaan
按	qaanh
案	qaanh
岸	ngaanh
豻	ngaanh
寒	ɡaan
邯	ɡaam
韓	ɡaal
旱	ɡaanq
扞	ɡaanh
捍	ɡaanh
汗	ɡaanh
翰	ɡaalh
厂	nghaanq
暵	nhaalq
罕	haanq
厂	nghaanh
暵	nhaalh
漢	nhaalh
乾	kaal
奸	kaan
干	kaan
漧	kaal
竿	kaal
肝	kaan
飦	kaan
秆	khaanq
笴	kaalq
簳	kaalq
倝	kaalh
幹	kaalh
看	khaan
看	khaanh
衎	khaanh
晏	qraanh
鴳	qraanh
顏	ngraan
顔	ngraan
雁	ngraanh
鴈	ngraanh
僩	ɡraanq
姦	kraan
菅	kraan
澗	kraanh
諫	kraanh
粦	rvn
粼	rvn
鄰	rvn
鱗	rvn
吝	rvnh
兟	srvl
莘	sring
詵	srvl
榛	cring
溱	cring
臻	cring
蓁	cring
新	sing
薪	sing
辛	sing
信	sningh
囟	svlh
訊	sus
秦	zing
盡	dzingq
燼	dzingh
津	tsing
盡	tsingq
晉	tsingh
進	tsingh
親	tshing
山	sran
潸	sran
產	sranq
産	sranq
孱	zr⁽ˁ⁾an
棧	zranq
轏	zr⁽ˁ⁾anq
盞	cranq
憐	rvvn
蓮	reen
練	reenh
鍊	reenh
先	svvl
蹮	seen
洗	svvlq
先	svvlh
霰	seenh
𩆵	seenh
前	dzeen
栫	zvvlh
洊	zvvlh
荐	zvvlh
薦	cvvlh
千	tshiing
阡	tshiing
倩	tshiingh
漣	ran
連	ran
輦	ranq
僆	ranh
㳄	slan
羨	slanh
仙	san
僊	san
鮮	sal
獮	snenq
癬	salq
鮮	salq
𤣔	snenq
錢	zan
俴	zanq
踐	zanq
賤	zanh
翦	tsenq
濺	canh
箭	tsenh
遷	tshan
𠨧	tshan
淺	chanq
蘭	raan
闌	raan
懶	raanq
瀾	raanq
爛	raanh
爤	raanh
傘	saanq
散	saanq
散	saanh
戔	zaan
殘	zaan
贊	tsaanh
餐	tsaan
粲	tsaanh
潸	sraan
汕	sraanh
棧	zraanq
棧	zraanh
人	ning
仁	ning
忍	nvlq
刃	nvlh
認	nvlh
軔	nvlh
晨	dvl
神	mlvn
伸	lhvn
呻	lhvn
娠	stvl
申	lhvn
紳	lhvn
身	lhing
哂	svlq
晨	dvl
臣	ɡing
辰	dvl
腎	ɡingq
蜃	dvlq
慎	dingh
振	tvl
甄	king
眞	ting
真	ting
縝	ting
㐱	tvlq
畛	tvlq
稹	tingq
袗	tvlq
診	tvlq
軫	tvlq
鬒	tingq
娠	tvlh
振	tvlh
震	tvlh
瞋	thing
㸐	nan
然	nan
燃	nan
熯	nalq
羴	lhan
羶	stan
膻	stan
扇	lhanh
單	dal
蟬	dal
善	ɡenq
墠	danq
壇	danq
擅	danh
禪	dalh
繕	ɡenh
旃	tan
氈	tan
饘	tan
鸇	tan
饘	tanq
戰	talh
餰	lhan
幝	thalq
塵	drvl
陳	lrvl
診	drvlh
陣	lrvlh
陳	lrvlh
珍	trvl
鎮	tringh
辴	thrvlq
疹	thrvlh
吞	lhiing
年	niing
填	diing
田	liing
畋	liing
闐	diing
殄	dvvlq
佃	liingh
奠	diingh
殿	dvvlh
甸	liingh
畋	liingh
電	liingh
巓	tiing
巔	tiing
顚	tiing
顛	tiing
驒	taal
典	tvvlq
殿	tvvlh
吞	lhiing
天	lhiing
腆	thvvlq
蹍	nrenq
廛	dran
纏	dran
躔	dran
鱣	tran
展	trenq
搌	trenq
襢	tranq
輾	trenq
展	trenh
襢	tranh
梴	lhran
難	naal
難	naalh
壇	daan
彈	daal
檀	daan
鼉	daal
但	daanq
彈	daalh
丹	taan
單	taal
鄲	taal
亶	taanq
癉	taanq
𤺺	taanq
旦	taanh
嘽	thaal
歎	nhaal
灘	nhaal
坦	thaanq
嘆	nhaalh
炭	lhaanh
戁	nraalq
文	mvn
聞	mvn
蚉	mvn
蚊	mvn
問	mvnh
焚	bvn
賁	bvl
憤	bvlq
分	bvnh
分	pvn
饙	pvl
𦐈	pvn
粉	pvnq
奮	pvnh
糞	pvnh
芬	phvn
雰	phvn
旻	mrvn
珉	mrvn
痻	mrvn
緡	mrvn
閩	mrvn
憫	mrvnq
敏	mrvq
閔	mrvnq
貧	brvn
豳	prvn
民	ming
泯	ming
蘋	bing
頻	bing
牝	bingq
濵	ping
瀕	ping
賓	ping
賔	ping
亹	mvvl
捫	mvvn
汶	mvvn
璊	mvvl
穈	mvvl
門	mvvn
盆	bvvn
奔	pvvl
賁	pvvl
本	pvvnq
畚	pvvnq
晚	malq
曼	manh
萬	mranh
蔓	manh
樊	ban
煩	ban
燔	bal
繁	bal
蕃	bal
袢	ban
飯	banq
飯	banh
蕃	pal
藩	pal
反	panq
返	panq
阪	panq
幡	phal
番	phal
反	braanq
辦	breenh
釆	brvvlh
盼	phrvvnh
眠	miing
眄	meenq
蹁	been
辮	beenh
編	peen
邊	peen
扁	peenq
徧	peenh
片	pheenh
俛	mralq
免	mralq
冕	mralq
勉	mralq
辨	brenq
辯	brenq
卞	branh
弁	branh
笲	branh
辡	prenq
變	pronh
宀	men
沔	menq
湎	menq
面	menh
便	ben
平	ben
諞	ben
諞	benq
便	benh
籩	pen
編	pen
鞭	pen
𠓥	pen
偏	phen
篇	phen
翩	phen
騙	phenh
瞞	maal
懣	maalq
滿	maalq
幔	maanh
曼	maanh
漫	maanh
盤	baan
蟠	baal
伴	baanq
畔	baanh
搬	paan
半	paanh
判	phaanh
泮	phaanh
蠻	mroon
慢	mraanh
扳	praan
斑	praan
朌	prvvn
班	praan
頒	prvvn
板	praanq
攀	phraan
云	wvn
員	wvn
耘	wvn
芸	wvn
雲	wvn
運	wvlh
藴	qunq
愠	qunh
慍	qunh
藴	qunh
熏	hwvl
葷	hwvl
薰	hwvl
訓	lhunh
羣	ɡul
群	ɡul
裙	ɡul
郡	ɡul
君	kul
軍	kwvl
筠	wring
隕	wrvnq
均	wringh
韵	wringh
韻	wringh
菌	ɡwrvnq
麇	kwrvn
麏	kwrvn
麕	kwrvn
囷	khwrvn
匀	wing
允	lulq
尹	lulq
狁	lulq
均	kwing
鈞	kwing
昷	quun
温	quun
𥁕	quun
楎	wvvl
渾	wvvl
魂	wvvn
渾	wvvlq
婚	mhvvn
昏	mhvvn
昆	kuun
𥊽	kuun
坤	khluun
壼	khwvvnq
梱	khwvvnq
稇	khwvvnq
困	khwvvnh
園	wan
垣	wal
媛	wan
援	wan
爰	wan
猨	wan
袁	wan
轅	wan
遠	wanq
怨	qwan
夗	qwanq
婉	qwanq
宛	qwanq
苑	qwanq
怨	qwanh
元	ngon
原	ngol
嫄	ngol
源	ngol
願	ngonh
𩕾	ngonh
吅	hwal
喧	hwal
塤	hwvn
壎	hwvn
諠	hwal
諼	hwan
讙	hwal
貆	hwal
咺	hwalq
晅	hwalq
烜	hwalq
綣	khonq
勸	khwalh
綸	kruun
鰥	kruun
淵	qwiing
肙	qween
蜎	qween
懸	ween
玄	wiing
縣	ween
鞙	weenq
縣	weenh
駽	hween
絢	hwiingh
駽	hweenh
畎	kwiingq
犬	khwiingq
員	wrvn
圓	wrvn
圜	wren
媛	wranh
院	wranh
卷	ɡwren
拳	ɡron
權	ɡwral
鬈	ɡwren
圈	ɡronq
卷	kronq
眷	kronh
睠	kronh
捐	wen
沿	lon
緣	lon
悁	qwen
蜎	qwenq
儇	hwen
翾	hwen
蜎	ɡwenq
絹	ɡwenh
玩	ngoonh
翫	ngoonh
丸	waan
亘	waal
完	waan
桓	waal
芄	waan
雈	waal
浣	waanq
緩	waanq
輠	ɡoolq
換	waanh
懽	hwaal
歡	hwaal
貆	hwaal
驩	hwaal
渙	hwaanh
冠	kwaan
官	kwaan
棺	kwaan
觀	kwaal
貫	kloon
痯	kwaanq
筦	kwaanq
管	kwaanq
冠	kwaanh
灌	kwaalh
祼	koolh
觀	kwaalh
貫	kloonh
雚	kwaalh
館	kwaanh
鸛	kwaalh
寬	khwaan
環	wreen
睘	wreen
還	wreen
睅	ɡwraanq
宦	wraanh
患	ɡroonh
擐	wreenh
關	kroon
丱	kroonh
串	kroonh
倌	kwraanh
慣	kroonh
摜	kroonh
倫	run
淪	run
綸	run
論	run
輪	run
巡	slun
循	slun
旬	wing
紃	sdun
馴	slun
徇	wingh
殉	wingh
洵	swing
荀	swing
詢	swing
筍	swingq
隼	sulq
濬	swingh
遵	tsun
駿	tsulh
夋	tshul
論	ruun
論	ruunh
孫	suun
飧	suun
損	swvvnq
存	zvvl
尊	tsuun
樽	tsuun
刌	tshuunq
忖	tshuunq
寸	tshuunh
孿	sronh
孌	ronq
戀	ronh
孿	sronh
撰	zronq
㘣	wen
旋	wen
還	wen
旋	wenh
亘	hwal
宣	swal
渲	swalh
選	sonq
選	sonh
全	dzon
泉	dzol
䜌	roon
欒	roon
鑾	roon
鸞	roon
	roon
卵	roolq
亂	roonh
𤔔	roonh
酸	sool
祘	soonh
算	soonh
蒜	soonh
鑽	tsoon
纂	tsoonq
竄	tshoonh
犉	nul
閏	nunh
漘	sdun
脣	sdun
楯	mlunq
順	mlunh
舜	lhunh
淳	dul
純	dun
鶉	dul
淳	tul
淳	tulq
準	tunq
春	thun
船	mlon
輲	dol
專	ton
巛	khluun
川	khlun
穿	khlon
喘	tholq
舛	thunq
屯	trun
䡅	hrun
輴	hrun
屯	duun
臀	dvvl
豚	luun
𡱂	dvvl
𢄉	luun
盾	luunq
豚	luunq
遁	luunq
遯	luunq
遁	luunh
遯	luunh
敦	tuul
啍	thuul
焞	thuul
傳	dron
椽	lron
傳	dron
轉	tronq
傳	tronh
團	doon
慱	doon
摶	doon
漙	doon
斷	doolq
端	tool
耑	tool
斷	toolq
短	toolq
斷	toolh
段	toolh
鍛	toolh
湍	thool
畽	thoonq
彖	lhoonh
浥	qvp
邑	qvp
吸	hvp
噏	hvp
歙	hvp
翕	hvp
及	ɡvp
急	kvp
級	kvp
給	kvp
泣	khrvp
湆	khvp
燁	wrvp
爗	wrvp
挹	qip
揖	qip
唈	qvvp
合	ɡvvp
欱	hvvp
合	kvvp
閤	kvvp
韐	kvvp
鴿	kvvp
業	ngap
脅	hrap
劫	kap
跲	kap
胠	khap
峽	ɡreep
洽	ɡrvvp
狹	ɡreep
夾	kreep
韐	krvvp
劦	geep
協	geep
挾	ɡeep
梜	keep
匧	kheep
燁	wrap
爗	wrap
枼	lap
葉	lap
厭	qep
盍	ɡaap
蓋	ɡaap
壓	qreep
押	qraap
匣	ɡraap
柙	ɡraap
狎	ɡraap
梜	kreep
甲	kraap
立	rvp
笠	rvp
粒	rvp
濈	crvp
輯	crvp
習	slvp
襲	slvp
隰	glvp
輯	zvp
集	zvp
揖	cvp
緝	chvp
拉	rvvp
雜	zvvp
噆	cvvp
帀	cvvp
歃	srap
眨	crap
扱	chrvvp
插	tshrap
臿	tshrap
屧	seep
燮	seep
挾	tsheep
獵	rap
躐	rap
歃	srap
捷	dzap
接	tsap
椄	tsap
楫	cap
睫	tsap
妾	tshap
臘	raap
蠟	raap
翣	sraap
入	nvp
溼	lhvp
濕	lhvp
什	ɡip
十	ɡip
拾	dvp
執	tip
慹	tip
汁	kip
攝	nhap
韘	lhap
涉	dap
慹	tap
懾	tap
蟄	drip
縶	trip
內	nvvp
納	nvvp
軜	nvvp
沓	lvvp
眔	lvvp
遝	lvvp
答	tvvp
荅	tvvp
慹	niip
疊	liip
蝶	leep
墊	tiip
輒	teep
怗	theep
貼	theep
聶	nrap
踂	nrap
躡	nrap
耴	trap
輒	trap
蹋	laap
乏	bap
法	pap
灋	pap
陰	qvm
音	qvm
飲	qvmq
蔭	qvmh
飲	qvmh
吟	ngvm
𠪚	ngvm
歆	hvm
擒	ɡvm
琴	ɡvm
禽	ɡvm
衿	ɡvmh
䘳	kvm
今	kvm
襟	krvm
金	kvm
錦	kvmq
禁	krvmh
欽	khvm
衾	khvm
㸒	lvm
淫	lvm
愔	qim
晻	qvvmq
晻	qvvmh
暗	qvvmh
函	ɡvvm
含	ɡvvm
唅	ɡvvm
圅	ɡvvm
涵	ɡvvm
頷	ɡvvmq
含	ɡvvmh
憾	ɡvvmh
感	kvvmq
贛	kvvmq
贛	kvvmh
堪	khvvm
戡	khvvm
坎	khvvmq
埳	khvvmq
欿	khlvvmq
竷	khvvmq
嚴	ngam
儼	ngamq
險	hamq
劍	kamh
欠	khamh
咸	ɡrvvm
鹹	ɡrvvm
減	ɡrvvmq
臽	ɡrvvmh
陷	ɡrvvmh
黬	krvvm
減	krvvmq
歉	khreemh
嫌	ɡeem
兼	keem
蒹	keem
謙	kheem
炎	lam
淹	qram
奄	qramq
饜	qremh
驗	ngramh
險	hramq
鉗	ɡram
黔	ɡram
儉	ɡramq
檢	kramq
壛	lam
檐	lam
閻	lam
阽	lem
鹽	lam
剡	lamq
覃	lamq
爓	lamh
鹽	lamh
厭	qem
猒	qem
猒	qemh
邯	ɡaam
酣	ɡaam
檻	ɡaamq
甘	kaam
敢	kaamq
巖	ngraam
銜	ɡraam
檻	ɡraamq
監	kraam
監	kraamh
林	rvm
淋	rvm
臨	rvm
凜	rvmq
廩	rvmq
禀	rvmq
稟	rvmq
參	srvm
森	srvm
罧	srvmh
簪	crvm
譖	crvmh
參	tshrvm
槮	tshrvm
駸	tshrim
尋	slvm
爓	slvm
鬵	zvm
心	svm
罧	lhvmq
鬵	zvm
侵	tshim
綅	tshim
駸	tshim
寢	tshimq
婪	rvvm
蠶	zvvm
簪	cvvm
參	tshvvm
驂	tshvvm
讒	zram
斬	cramq
僭	ciimh
廉	rem
磏	rem
簾	rem
蘞	ram
鎌	rem
斂	ramq
斂	ramh
燂	slam
譣	lham
潛	zam
漸	zamq
潛	zamh
漸	cam
熸	cam
䭕	camq
僉	tsham
譣	tsham
塹	chamh
籃	raam
藍	raam
濫	raamh
三	svvm
參	svvm
三	svvmh
慙	zaam
慚	zaam
暫	zaamh
芟	sraam
髟	sraam
壬	nvm
紝	nvm
恁	nvmq
稔	nimq
荏	nvmq
衽	nvmq
飪	nvmq
任	nvmh
衽	nvmh
葚	dvmq
黮	dvmq
深	lhvm
審	lhvmq
沈	stvmq
諗	nhimq
深	lhvmh
忱	dvm
煁	dvm
諶	dvm
甚	dvmq
甚	dvmh
斟	tvm
箴	kim
針	kim
鍼	kim
枕	tvmq
枕	tvmh
瀋	lhvmq
髯	nam
染	namq
苫	stem
苫	stemh
贍	damh
占	tem
厃	tam
噡	tam
瞻	tam
詹	tam
幨	tham
襜	tham
幨	thamh
紝	nrvm
沈	drvm
朕	lrvmq
沈	drvmh
酖	drvmh
鴆	drvmh
椹	trvm
琛	lhrvm
南	nvvm
男	nvvm
潭	lvvm
燂	lvvm
覃	lvvm
禫	lvvm
窞	lvvmq
萏	lvvmq
湛	tvvm
耽	tvvm
探	lhvvm
貪	lhvvm
醓	lhvvmq
念	niimh
簟	liimq
驔	liimq
㓠	teemq
玷	teemq
點	teemq
㓠	teemh
墊	tiimh
店	teemh
玷	teemh
添	lhiim
忝	lhiimq
舔	lhiimq
忝	lhiimh
沾	trem
諂	hramq
讇	hramq
惔	laam
談	laam
餤	laam
啖	laamq
啗	laamq
憺	daamq
淡	laamq
澹	daamq
啗	laamh
儋	taam
擔	taam
膽	taamq
擔	taamh
菼	lhaamq
禀	prvmq
稟	prvmq
品	phrvmq
凡	bam
範	bamq
范	bamq
泛	phamh
貶	pramq
窆	pramh
